ID,RANK,SYMBOL,NAME,SUPPLY,MAXSUPPLY,MARKETCAPUSD,VOLUMNUSD24HRS,PRICEUSD,CHANGEDPERCENT24HRS,VWAP24HRS,EXPLORER
trueusd,28,TUSD,TrueUSD,2081362134.1799998000000000,,2079111507.2558764633153446,92782320.9768842226582232,0.9989186759539997,-0.0583161828162955,0.9995866328972481,https://etherscan.io/token/0x8dd5fbce2f6a956c3022ba3663759011dd51e73e
filecoin,29,FIL,Filecoin,426073442.0000000000000000,,1870209171.9384694365429370,25299177.2991514980370917,4.3894056460305485,-2.4955922536578214,4.4037003066773241,https://protocol.ai
lido-dao,30,LDO,Lido DAO,879304328.0334900000000000,1000000000.0000000000000000,1804839457.3455752573260458,2466305.3535431396270969,2.0525765651375646,-3.0325730654977644,2.0787508780882642,https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32
crypto-com-coin,31,CRO,Crypto.com Coin,25263013692.0000000000000000,30263013692.0000000000000000,1566181944.0582288940045128,1700562.2947384229295234,0.0619950558216334,-0.1309004141016882,0.0620284929844319,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
near-protocol,32,NEAR,NEAR Protocol,907621343.0000000000000000,,1462269319.5165503554658201,20820006.0559015824991103,1.6111006322121607,-2.6017305897459029,1.6176813201479080,https://explorer.nearprotocol.com/
bitcoin-bep2,33,BTCB,Bitcoin BEP2,53802.8116763800000000,,1445067444.0895308892278459,105905356.9489210010830861,26858.5859932656770499,-0.8409494253857482,26827.4924511465776051,https://explorer.binance.org/asset/BTCB-1DE
vechain,34,VET,VeChain,72714516834.0000000000000000,86712634466.0000000000000000,1387394266.6131242061919374,9702197.3382436284521646,0.0190800176776311,-1.3426795296620808,0.0190346389036247,https://explore.veforge.com/
quant,35,QNT,Quant,12072738.0000000000000000,14881364.0000000000000000,1235789785.2009218141636802,4038826.1855649890841681,102.3620147476837329,-1.5084911334416163,102.6022917908294300,https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675
algorand,36,ALGO,Algorand,7240768442.7950220000000000,10000000000.0000000000000000,1173090903.9362235762003553,13476178.2972949512329064,0.1620119346729719,-1.3520810712477308,0.1618303827382369,https://algoexplorer.io/
the-graph,37,GRT,The Graph,8987868251.0707600000000000,,1069790690.1200716002084652,8662906.1668921814698554,0.1190260760656592,-1.5824917439407828,0.1187441588931195,https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7
fantom,38,FTM,Fantom,2788599947.7916164000000000,3175000000.0000000000000000,1004960152.7390637032276594,24710357.0659862729769567,0.3603816149874508,-3.0944357369474081,0.3636902831183378,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
rocket-pool,39,RPL,Rocket Pool,19401717.0884452600000000,,978236587.2863506121736572,396133.4798841552037408,50.4201036860259034,0.2756205676510651,49.7616909375978608,https://etherscan.io/token/0xb4efd85c19999d84251304bda99e90b92300bd93
the-sandbox,40,SAND,The Sandbox,1853581926.2233226000000000,3000000000.0000000000000000,949842245.5623848339995898,13141321.8348005509471780,0.5124360742433924,-2.4903484326227748,0.5143558230623721,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
eos,41,EOS,EOS,1091728054.7351000000000000,,933970381.0472203297550459,33116570.3515435664288842,0.8554972797450383,-2.6470664440609804,0.8591550927580531,https://bloks.io/
aave,42,AAVE,Aave,14396401.1732528500000000,16000000.0000000000000000,915413504.8454996905046278,10549591.2655429041332571,63.5862736686062410,-1.9847401127101190,64.0357128152073643,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
decentraland,43,MANA,Decentraland,1878271531.8299441000000000,,898538541.1359887262079396,12486022.6126032929021007,0.4783858595038010,-1.5704086465168524,0.4807711075029902,https://etherscan.io/token/decentraland
kava,44,KAVA,Kava,529677522.0000000000000000,,896911146.0479354384401938,21285168.8068420725111973,1.6933154774272929,-2.2218211216987754,1.2207179828630313,https://www.mintscan.io/kava
elrond-egld,45,EGLD,MultiversX,24184559.1898415400000000,31415926.0000000000000000,878503233.9950291046144383,5316411.7195076851902050,36.3249636720290025,-2.1376635239465436,36.5216253802862721,https://explorer.elrond.com/
render-token,46,RNDR,Render Token,366378124.1087959400000000,536870912.0000000000000000,875851628.7784848176280852,36642441.1333431579499638,2.3905674797286772,1.0187745243578104,2.5083350615424580,https://etherscan.io/token/0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
stacks,47,STX,Stacks,1381123664.6954680000000000,1818000000.0000000000000000,875062188.7038074913209516,6300371.5790598798538708,0.6335871371060426,-4.6244021065213357,0.6439217082542365,https://explorer.xinfin.network/
theta,48,THETA,THETA,1000000000.0000000000000000,1000000000.0000000000000000,857075850.9391611000000000,6279072.1798763886311312,0.8570758509391611,-3.0807307023173350,0.8578852309218090,https://explorer.thetatoken.org/
frax,49,FRAX,Frax,1004141409.4087842000000000,,854058702.7919452298263778,2090248.1116877919322806,0.8505362838236058,-14.9266267372772912,0.9898534526893535,https://etherscan.io/token/0x853d955acef822db058eb8505911ed77f175b99e
tezos,50,XTZ,Tezos,938751773.8098900000000000,,839597938.1074062374785678,7105667.1933050327842580,0.8943769391773594,-0.8969594926076640,0.8974445471075885,https://tzkt.io/
conflux-network,51,CFX,Conflux,2880719900.0912943000000000,,837058694.6170272278600878,50595770.0114735852726661,0.2905727469687350,-1.9390735501729367,0.2983612020063007,http://www.confluxscan.io/
axie-infinity,52,AXS,Axie Infinity,116956335.3265201000000000,270000000.0000000000000000,800933764.1536592227312879,8594982.5123129600434212,6.8481434709595058,-2.6701801690262731,6.8676351629870368,https://etherscan.io/token/0xf5d669627376ebd411e34b98f19c868c8aba5ada
flow,53,FLOW,Flow,1036200000.0000000000000000,,776063382.1817751877200000,1882946.2691091893964219,0.7489513435454306,-2.5205430223020194,0.7506096094373439,https://flowscan.org/
hedera-hashgraph,54,HBAR,Hedera Hashgraph,14832756028.0000000000000000,50000000000.0000000000000000,774782686.2628972918163460,3759354.1644813392157421,0.0522345735883695,-1.3434420002741500,0.0524319855733724,https://hash-hash.info/
chiliz,55,CHZ,Chiliz,6975647158.4616100000000000,8888888888.0000000000000000,725255428.7357768134607160,9540736.2654518900314436,0.1039696263673581,-2.8823634175055512,0.1046820247940436,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af
kucoin-token,56,KCS,KuCoin Token,96974735.4569757400000000,170118638.0000000000000000,713520173.2719020183128596,837456.2636552483957619,7.3577944802795124,-0.9885992269399124,7.3809915674307129,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811
curve-dao-token,57,CRV,Curve DAO Token,818212083.0000000000000000,3303030299.0000000000000000,688685702.0382676009657842,5801122.0955912942421467,0.8416958345483974,1.6679318884415881,0.8338727896105297,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52
zcash,58,ZEC,Zcash,16328268.7500000000000000,21000000.0000000000000000,679705679.7665059369902544,31897337.5291863139114006,41.6275411786387909,-0.8944094573042020,39.6283864669210598,https://explorer.zcha.in/
bitcoin-sv,59,BSV,Bitcoin SV,19266076.6442390500000000,21000000.0000000000000000,671989677.1447688824938200,10493690.8168003953241677,34.8794250927942564,-0.7440530659069637,34.5626247090360780,https://bsvexplorer.io/
neo,60,NEO,Neo,70538831.0000000000000000,100000000.0000000000000000,660001751.5186301492811349,13401442.6776863321690106,9.3565734243402779,-1.3526325280534119,9.2745425829503993,https://neotracker.io
